S.No,States/UTs,Fine - Total Acc. - 2014,Fine - Persons Killed - 2014,Fine - Persons Injured - 2014,Mist/fog - Total Acc. - 2014,Mist/fog - Persons Killed - 2014,Mist/fog - Persons Injured - 2014,Cloudy - Total Acc. - 2014,Cloudy - Persons Killed - 2014,Cloudy - Persons Injured - 2014,Light rain - Total Acc. - 2014,Light rain - Persons Killed - 2014,Light rain - Persons Injured - 2014,Heavy rain - Total Acc. - 2014,Heavy rain - Persons Killed - 2014,Heavy rain - Persons Injured - 2014,Flooding of slipways/rivulers - Total Acc. - 2014,Flooding of slipways/rivulers - Persons Killed - 2014,Flooding of slipways/rivulers - Persons Injured - 2014,Hail/sleet - Total Acc. - 2014,Hail/sleet - Persons Killed - 2014,Hail/sleet - Persons Injured - 2014,snow - Total Acc. - 2014,snow - Persons Killed - 2014,snow - Persons Injured - 2014,Strong wind - Total Acc. - 2014,Strong wind - Persons Killed - 2014,Strong wind - Persons Injured - 2014,Dust storm - Total Acc. - 2014,Dust storm - Persons Killed - 2014,Dust storm - Persons Injured - 2014,Very hot - Total Acc. - 2014,Very hot - Persons Killed - 2014,Very hot - Persons Injured - 2014,Very cold - Total Acc. - 2014,Very cold - Persons Killed - 2014,Very cold - Persons Injured - 2014,Other extraordinary weather condition - Total Acc. - 2014,Other extraordinary weather condition - Persons Killed - 2014,Other extraordinary weather condition - Persons Injured - 2014
1,Andhra Pradesh,14591,4586,17065,724,219,925,647,188,916,1104,368,1440,695,231,856,139,78,158,33,6,39,556,124,718,350,117,639,170,41,210,1264,467,1342,576,213,602,3591,1270,5021
2,Arunachal Pradesh,71,30,110,14,10,26,11,8,24,17,9,32,10,8,30,0,0,0,0,0,0,3,2,3,15,12,18,12,9,15,23,15,15,21,13,20,8,3,15
3,Assam,3575,1318,3216,494,150,368,285,100,290,320,104,277,189,64,197,17,5,14,3,0,3,6,3,0,107,44,73,17,12,7,170,51,197,72,13,92,1889,658,1765
4,Bihar,2343,1218,1626,1713,881,1081,438,203,316,721,344,481,609,328,423,228,122,140,85,44,51,31,17,13,382,174,313,352,146,273,959,484,734,762,413,530,933,539,659
5,Chhattisgarh,5000,1354,4584,382,149,376,863,216,789,1810,478,1670,718,194,725,107,41,127,84,25,67,85,43,79,177,68,197,198,72,207,1186,360,1051,791,232,710,2420,790,2575
6,Goa,3556,257,1585,0,0,0,27,6,17,417,19,195,222,8,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,2,0,1
7,Gujarat,15008,4876,14431,643,176,639,1066,387,915,1520,564,1273,815,276,834,116,30,141,31,17,39,84,42,70,277,120,298,441,158,365,1255,449,1085,932,325,916,1524,535,1487
8,Haryana,5519,2043,5261,724,263,716,310,160,194,511,191,442,300,143,162,242,136,122,240,135,87,0,0,0,246,135,46,264,176,130,393,196,271,446,240,351,1481,665,1162
9,Himachal Pradesh,2070,736,3635,90,45,232,195,96,482,134,54,221,86,27,138,0,0,0,0,0,0,31,15,68,0,0,0,0,0,0,126,56,242,129,54,187,197,116,371
10,Jammu & Kashmir,5290,816,7297,16,7,19,79,26,51,66,21,45,90,32,58,0,0,0,0,0,0,100,27,52,0,0,0,0,0,0,0,0,0,0,0,0,220,63,521
11,Jharkhand,1249,751,988,478,199,330,510,218,403,484,235,389,488,252,400,18,8,20,48,28,20,2,0,18,145,54,112,195,92,230,392,180,275,354,183,309,838,428,862
12,Karnataka,27346,6533,34052,1236,245,1899,1696,392,3091,2726,639,3396,1827,464,2338,61,1,49,10,2,12,172,42,214,143,53,196,263,46,309,1521,418,2891,1026,303,1305,5686,1314,7079
13,Kerala,28138,3257,31627,477,28,561,1239,90,1655,3489,388,4020,2903,286,3196,36,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Madhya Pradesh,39335,6262,41623,2228,215,920,1436,342,2203,2655,337,2562,1086,266,1267,0,0,0,214,25,184,21,0,37,44,20,98,235,88,209,912,217,860,720,133,702,4586,664,4670
15,Maharashtra,55186,11099,36257,290,79,253,755,161,845,1465,303,998,359,77,303,24,4,32,0,0,0,0,0,0,16,5,18,320,101,255,434,132,238,262,88,232,2516,754,1024
16,Manipur,228,72,379,38,6,66,33,5,61,90,13,160,96,19,156,17,4,25,18,2,28,7,1,15,46,6,75,29,2,47,55,14,99,20,6,51,66,18,133
17,Meghalaya,43,7,33,44,12,28,57,19,28,27,8,12,98,41,41,42,10,21,0,0,0,28,9,16,13,4,7,0,0,0,0,0,0,25,3,16,165,28,109
18,Mizoram,88,76,174,14,10,20,0,0,0,30,17,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Nagaland,251,63,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,18,58
20,Orissa,3713,1592,3930,670,259,749,691,300,861,1101,396,1273,836,341,983,114,26,131,47,22,66,31,12,35,139,61,184,184,77,242,525,215,617,442,159,557,1155,471,1459
21,Punjab,3631,2707,2188,891,605,636,246,163,167,281,192,211,199,150,113,59,38,39,9,2,6,0,0,0,56,44,81,84,50,106,394,260,262,374,257,232,167,153,86
22,Rajasthan,21567,8866,23996,611,328,496,240,77,291,290,126,409,30,20,59,0,0,0,0,0,0,0,0,3,59,17,41,59,32,75,390,173,412,300,182,394,1082,468,1277
23,Sikkim,58,17,98,47,12,54,0,0,0,0,0,0,26,7,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,23,169
24,Tamil Nadu,42716,10753,51344,1857,256,1786,2479,415,2600,2909,649,3139,2383,494,2620,77,8,99,39,7,49,834,101,924,420,58,456,1464,205,1343,2784,578,4801,2268,518,2647,7020,1148,5917
25,Telangana,10845,3622,11037,287,148,267,470,139,522,913,355,925,677,290,710,452,120,525,211,56,296,861,281,995,449,139,557,210,60,325,777,232,832,694,212,669,3232,1252,3976
26,Tripura,551,139,913,39,15,115,43,13,62,29,5,62,15,4,14,1,0,5,0,0,0,0,0,0,1,0,0,0,0,0,8,2,17,5,2,11,24,8,26
27,Uttarakhand,1081,702,1226,95,48,91,33,18,25,37,26,37,18,8,13,2,1,2,0,0,0,0,0,0,5,4,2,0,0,0,21,12,28,59,30,40,59,29,67
28,Uttar Pradesh,11484,5865,7475,1454,860,964,1341,723,919,2311,1205,2031,2064,1113,1727,364,204,330,188,116,242,160,79,114,942,514,769,610,301,657,1716,840,1178,1736,992,1448,6664,3475,4483
29,West Bengal,4513,2187,5164,1533,650,942,538,213,534,1152,506,1093,1193,652,1091,81,35,100,159,64,177,33,15,59,192,63,42,196,90,309,616,256,547,356,152,349,2313,992,1611
30,A & N Islands,168,20,209,0,0,0,0,0,0,36,2,54,14,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Chandigarh,369,131,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,D & N Haveli,47,34,50,0,0,0,0,0,0,25,13,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,4,5,4,10,4,5,2
33,Daman & Diu,38,14,49,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Delhi,NA,1656,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
36,Puducherry,453,68,528,1,0,1,42,9,35,128,10,122,61,15,60,0,0,0,12,0,13,82,11,92,95,0,105,0,0,0,120,16,248,103,7,119,14,15,0
Total,Total,310121,83727,312657,17090,5886,14560,15770,4687,18296,26799,7578,27039,18107,5814,18645,2197,871,2117,1431,551,1379,3127,824,3525,4319,1713,4327,5303,1758,5314,16047,5626,18246,12483,4734,12500,47983,15902,46586
